Date,Clients,Process,Scheduled Day,TAT,Process AHT,Peer review AHT,Source
2026-04-28,AIG,Warnings,Tuesday After dataLoad,,150.0,60.0,DATALOAD.CSV
2026-04-28,Kinder Morgan,BW to Benecalc,Daily except Wednesday,4:00 PM CST,70.0,20.0,DATALOAD.CSV
2026-04-28,Hexion,Census Data Load,Tuesday,24 hrs after receive the file,50.0,20.0,DATALOAD.CSV
2026-04-29,BBU,Census and Financial Load,Wednesday,EOD,120.0,30.0,DATALOAD.CSV
2026-04-29,BOSCH,Data Load,Wednesday ,,,,DATALOAD.CSV
2026-04-29,Kaiser,TSPMG Financial,Bi - Weekly Wednesday,EOD,105.0,30.0,DATALOAD.CSV
2026-04-29,MMC ,Term report,Following day after MMC dataload,,15.0,12.0,REPORT.CSV
2026-04-29,Hilton,Overpayment Report ,Wednesday,ASAP,15.0,12.0,REPORT.CSV
2026-04-29,AEP,Census Data Load,Daily,11:30 AM CST,61.0,20.0,DATALOAD.CSV
2026-04-29,Kaiser,HCM Financial ,Wednesday,EOD,105.0,30.0,DATALOAD.CSV
2026-04-29,Kinder Morgan,HRIS Data Load,Wednesday,4:00 PM CST,150.0,45.0,DATALOAD.CSV
2026-04-29,BBU,Reports,"Monday, Wednesday and Friday",EOD,15.0,12.0,REPORT.CSV
2026-04-29,AEP,AEP Total Rewards File Transfer,Wednesday,6:00 AM EST and 10:00 AM EST ,15.0,10.0,DATALOAD.CSV
2026-04-29,Kaiser,SCPMG Census, Wednesday,EOD,105.0,30.0,DATALOAD.CSV
2026-04-29,Kaiser,HCM census file,Wednesday,,,,DATALOAD.CSV
2026-04-29,AEP,Weekly Estimates Online Report,Wednesday,9:00 AM CST,15.0,12.0,REPORT.CSV
2026-04-30,Kaiser,CPMG Financial,Bi - Weekly Thursday,EOD,105.0,30.0,DATALOAD.CSV
2026-04-30,Kaiser, Weekly Dual Payroll Report,Every Thrusday after HCM financial load,EOD,50.0,12.0,REPORT.CSV
2026-04-30,Hertz,Financial Data Load,Thursday,EOD,75.0,30.0,DATALOAD.CSV
2026-04-30,Kinder Morgan,BW to Benecalc,Daily except Wednesday,4:00 PM CST,70.0,20.0,DATALOAD.CSV
2026-04-30,AVON,HRIS Data Load,Thursday ,,30.0,20.0,DATALOAD.CSV
2026-04-30,AEP,Census Data Load,Daily,11:30 AM CST,61.0,20.0,DATALOAD.CSV
2026-04-30,Kaiser,MAPMG Census ,Thursday,EOD,105.0,30.0,DATALOAD.CSV
2026-04-30,CAMPBELL,Census Data Load,Monday & Thursday,,40.0,20.0,DATALOAD.CSV
2026-04-30,Hertz,Census Load,Thursday,EOD,90.0,30.0,DATALOAD.CSV
2026-04-30,Kaiser,SCPMG Financial,Bi - Weekly Thursday,EOD,105.0,30.0,DATALOAD.CSV
2026-04-30,Kinder Morgan,Bi-Weekly Pay File,Bi - Weekly Thursday,4:00 PM CST,75.0,25.0,DATALOAD.CSV
2026-04-30,Lyondell,Parameter 639 and 640 Report,Last day of every month,EOD,15.0,12.0,REPORT.CSV
2026-05-01,AVON,New Avon Billing Report,1st business day of each month,,,,REPORT.CSV
2026-05-01,Rock Tenn,4. Monthly Validator Report,1st business day of every  month,4:00 PM CST,15.0,12.0,REPORT.CSV
2026-05-01,Hertz,Validator Reports ,Next day After Hertz Census Load,,15.0,12.0,REPORT.CSV
2026-05-01,Kinder Morgan,1. Weekly Death  Report ,Friday,12:00 PM CST,15.0,12.0,REPORT.CSV
2026-05-01,Nissan,Monthly Billing Counts Report,1st business day of every  month,EOD,15.0,12.0,REPORT.CSV
2026-05-01,Kinder Morgan,Monthly Billing Counts Report,1st day of the month,,15.0,12.0,REPORT.CSV
2026-05-01,ADP,Monthly Validator reports,1st business day of every  month,4:00 PM CST,15.0,12.0,REPORT.CSV
2026-05-01,MMC,MMC Future Change Report,1st business day of every  month,EOD,15.0,12.0,REPORT.CSV
2026-05-01,Kinder Morgan,Kinder Morgan WDIH Biweekly Batch Processing,Bi Weekly Friday(After payroll 2nd part and BW to BC file completed),9:00 AM CST,50.0,25.0,REPORT.CSV
2026-05-01,Hilton,Monthly MbcDbCalcVw Report,1st business day of the month,,,,REPORT.CSV
2026-05-01,Edgewell,1.  Small Sum Cash Out Report,1st business day of every  month,4:30 PM CST,15.0,12.0,REPORT.CSV
2026-05-01,Lyondell,Monthly Age 65 Report,First business day of each month,,15.0,12.0,REPORT.CSV
2026-05-01,TForce Freight,Data Load,Friday ,EOD,,,DATALOAD.CSV
2026-05-01,AEP,Monthly Person Status Detail Report,1st business day of every  month,EOD,15.0,12.0,REPORT.CSV
2026-05-01,MMC,MMC Post04 Report,1st business day of every  month,3:00 PM CST,15.0,12.0,REPORT.CSV
2026-05-01,Hilton,Hilton Quarterly RMD,"quarterly-first day of the second month of each quarter: 2/1, 5/1, 8/1, and 11/1)",EOD,15.0,12.0,REPORT.CSV
2026-05-01,WestRock,Data Load,Friday,Next day (12:00 PM CST),190.0,45.0,DATALOAD.CSV
2026-05-01,Kinder Morgan,18. Plantation Pipeline Population Report,1st business day of every  month,EOD,15.0,12.0,REPORT.CSV
2026-05-01,Edgewell,2.   The Ongoing Leveling Report,1st business day of every  month,4:30 PM CST,15.0,12.0,REPORT.CSV
2026-05-01,URS,AECOM/URS Billing Report,1st business day of each month,,,,REPORT.CSV
2026-05-01,Kinder Morgan,BW to Benecalc,Daily except Wednesday,4:00 PM CST,70.0,20.0,DATALOAD.CSV
2026-05-01,ADP,ADP ACTIVE SUPSENDED REPORT,"1ST  of every month, or the next business day if the 1ST  falls on a weekend",,12.0,12.0,REPORT.CSV
2026-05-01,Rock Tenn,2. TV NRD Report,1st business day of every  month,4:00 PM CST,15.0,12.0,REPORT.CSV
2026-05-01,TForce Freight,Suspension of Benefits,First business day of every month,12:00 PM CST,15.0,12.0,REPORT.CSV
2026-05-01,AEP,Overpayment Parameter Report,Friday,EOD,,,REPORT.CSV
2026-05-01,Hexion,Hexion Billing Report,First business day of each month,,,,REPORT.CSV
2026-05-01,Rock Tenn,3. Hourly Disability Report,1st business day of every  month,4:00 PM CST,15.0,12.0,REPORT.CSV
2026-05-01,AEP,InactiveDataFile,Friday,11:30 AM CST,90.0,30.0,DATALOAD.CSV
2026-05-01,BBU,Reports,"Monday, Wednesday and Friday",EOD,15.0,12.0,REPORT.CSV
2026-05-01,Kaiser,MAPMG Financial,Bi -Weekly Friday,EOD,105.0,30.0,DATALOAD.CSV
2026-05-01,AEP,MbcDbCalcVw Report,1st business day of every  month,,,,REPORT.CSV
2026-05-01,Kinder Morgan,Data Validation Reports ,Bi Weekly Friday,12 PM CST,30.0,15.0,REPORT.CSV
2026-05-01,Edgewell,3. The Monthly Validator Report,1st business day of every  month,4:30 PM CST,15.0,12.0,REPORT.CSV
2026-05-01,AEP,Person Status Report,1st business day of every  month,12:00 AM CST,15.0,12.0,REPORT.CSV
2026-05-01,MMC,MMC Weekly Phased Retirement Status Code Report,Friday,12:00 PM CST,15.0,12.0,REPORT.CSV
2026-05-01,Bimbo,Bimbo Rehire Report ,1st business day of each month,,,,REPORT.CSV
2026-05-01,Kinder Morgan,Bi-Weekly Pay File (2nd Part),Bi - Weekly Friday next day after Kinder Payroll File,4:00 PM CST,25.0,20.0,DATALOAD.CSV
2026-05-01,MMC,MMC Weekly Disbursement Report,Friday,11 AM CST,15.0,12.0,REPORT.CSV
2026-05-01,AEP,Census Data Load,Daily,11:30 AM CST,61.0,20.0,DATALOAD.CSV
